created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2023-06-12T20:49:38+05:30,1,0.00038,16588,,,,
2023-06-12T20:49:53+05:30,2,0.00046,16608,,,,
2023-06-12T20:50:10+05:30,3,0.00038,16644,,,,
2023-06-12T20:50:28+05:30,4,0.00033,-624,,,,
2023-06-12T20:50:44+05:30,5,0.00045,16372,,,,
2023-06-12T20:51:02+05:30,6,0.00045,16608,,,,
2023-06-12T20:51:19+05:30,7,0.00044,16544,,,,
2023-06-12T20:51:36+05:30,8,0.00001,16768,,,,
2023-06-12T20:51:52+05:30,9,0.00048,16608,,,,
2023-06-12T20:52:10+05:30,10,0.00043,16736,,,,
2023-06-12T20:52:26+05:30,11,0.00040,16496,,,,
2023-06-12T20:52:44+05:30,12,0.00044,16576,,,,
2023-06-12T20:53:00+05:30,13,0.00046,16576,,,,
2023-06-12T20:53:18+05:30,14,0.00039,16584,,,,
2023-06-12T20:53:35+05:30,15,0.00050,16672,,,,
2023-06-12T20:53:51+05:30,16,0.00044,16920,,,,
2023-06-12T20:54:06+05:30,17,0.00042,16620,,,,
2023-06-12T20:54:21+05:30,18,0.00076,16504,,,,
2023-06-12T20:54:38+05:30,19,0.00043,16604,,,,
2023-06-12T20:54:53+05:30,20,0.00035,16552,,,,
2023-06-12T20:55:10+05:30,21,0.00054,16520,,,,
2023-06-12T20:55:27+05:30,22,0.00073,16536,,,,
2023-06-12T20:55:44+05:30,23,0.00036,16616,,,,
2023-06-12T20:56:01+05:30,24,0.00041,16668,,,,
2023-06-12T20:56:18+05:30,25,0.00044,16632,,,,
2023-06-12T20:56:35+05:30,26,0.00050,16548,,,,
2023-06-12T20:56:52+05:30,27,0.00045,16536,,,,
2023-06-12T20:57:08+05:30,28,0.00046,16536,,,,
2023-06-12T20:57:25+05:30,29,0.00062,16652,,,,
2023-06-12T20:57:42+05:30,30,0.00052,16720,,,,
2023-06-12T20:57:58+05:30,31,0.00081,16580,,,,
2023-06-12T20:58:15+05:30,32,0.00004,16720,,,,
2023-06-12T20:58:32+05:30,33,0.92315,17232,,,,
2023-06-12T20:58:49+05:30,34,0.93109,17380,,,,
2023-06-12T20:59:06+05:30,35,0.93323,16544,,,,
2023-06-12T20:59:23+05:30,36,0.93564,16432,,,,
2023-06-12T20:59:39+05:30,37,0.93505,16472,,,,
2023-06-12T20:59:56+05:30,38,0.92985,16468,,,,
2023-06-12T21:00:13+05:30,39,0.73905,16484,,,,
2023-06-12T21:00:30+05:30,40,0.88087,16576,,,,
2023-06-12T21:00:46+05:30,41,0.93857,16532,,,,
2023-06-12T21:01:03+05:30,42,0.93602,16604,,,,
2023-06-12T21:01:20+05:30,43,0.93860,16596,,,,
2023-06-12T21:01:36+05:30,44,0.93145,16492,,,,
2023-06-12T21:01:53+05:30,45,0.93684,16468,,,,
2023-06-12T21:02:10+05:30,46,0.93425,16516,,,,
2023-06-12T21:02:27+05:30,47,0.93656,16564,,,,
2023-06-12T21:02:43+05:30,48,0.93418,16472,,,,
2023-06-12T21:03:00+05:30,49,0.93265,16580,,,,
2023-06-12T21:03:17+05:30,50,0.93618,16556,,,,
2023-06-12T21:03:34+05:30,51,0.93759,16360,,,,
2023-06-12T21:26:26+05:30,52,0.01863,16488,,,,
2023-06-12T21:27:01+05:30,53,-290,27,,,,
2023-06-12T21:27:17+05:30,54,309,3062,,,,
2023-06-12T21:27:34+05:30,55,-275,19,,,,
2023-06-12T21:27:50+05:30,56,-265,28,,,,
2023-06-12T21:28:06+05:30,57,-297,-11,,,,
2023-06-12T21:28:22+05:30,58,-288,42,,,,
2023-06-12T21:28:38+05:30,59,-297,46,,,,
2023-06-12T21:28:54+05:30,60,-274,3,,,,
2023-06-12T21:29:10+05:30,61,-281,35,,,,
2023-06-12T21:29:27+05:30,62,-299,9,,,,
2023-06-12T21:29:43+05:30,63,-268,32,,,,
2023-06-12T21:29:59+05:30,64,-278,40,,,,
2023-06-12T21:30:15+05:30,65,-300,3,,,,
2023-06-12T21:30:31+05:30,66,-284,14,,,,
2023-06-12T21:30:47+05:30,67,-298,25,,,,
2023-06-12T21:31:03+05:30,68,-305,24,,,,
2023-06-12T21:31:20+05:30,69,-279,21,,,,
2023-06-12T21:31:36+05:30,70,-270,-48,,,,
2023-06-12T21:31:52+05:30,71,-265,19,,,,
2023-06-12T21:32:08+05:30,72,-289,-7,,,,
2023-06-12T21:32:24+05:30,73,-285,25,,,,
2023-06-12T21:32:40+05:30,74,-286,-47,,,,
2023-06-12T21:33:21+05:30,75,133.33333,,,,,
2023-06-12T21:33:38+05:30,76,129.66667,,,,,
2023-06-12T21:33:54+05:30,77,143.66667,,,,,
2023-06-12T21:34:10+05:30,78,144.66667,,,,,
2023-06-12T21:34:26+05:30,79,125.66666,,,,,
2023-06-12T21:34:42+05:30,80,129.33333,,,,,
2023-06-12T21:34:58+05:30,81,106.66666,,,,,
2023-06-12T21:35:14+05:30,82,154.66667,,,,,
2023-06-12T21:35:31+05:30,83,124.33334,,,,,
2023-06-12T21:35:47+05:30,84,144.33333,,,,,
2023-06-12T21:36:03+05:30,85,141.00000,,,,,
2023-06-12T21:36:19+05:30,86,170.00000,,,,,
2023-06-12T21:36:35+05:30,87,114.66666,,,,,
2023-06-12T21:36:52+05:30,88,173.33333,,,,,
2023-06-12T21:37:08+05:30,89,135.33333,,,,,
2023-06-12T21:37:24+05:30,90,141.33333,,,,,
2023-06-12T21:37:40+05:30,91,145.66667,,,,,
2023-06-12T21:37:56+05:30,92,134.33333,,,,,
2023-06-12T21:38:12+05:30,93,139.66667,,,,,
2023-06-12T21:38:28+05:30,94,126.66666,,,,,
2023-06-12T21:38:44+05:30,95,446.00000,,,,,
2023-06-12T21:39:01+05:30,96,128.33333,,,,,
2023-06-12T21:39:17+05:30,97,119.33334,,,,,
2023-06-12T21:39:33+05:30,98,134.00000,,,,,
2023-06-12T21:40:09+05:30,99,128.00000,,,,,
2023-06-12T21:40:24+05:30,100,152.00000,,,,,
